490312 6697920 0
490302.625515 6697923.48124 10
490293.251031 6697926.96248 20
490283.876546 6697930.44372 30
490274.502062 6697933.92496 40
490265.127577 6697937.4062 50
490255.753092 6697940.88745 60
490246.378608 6697944.36869 70
490237.004123 6697947.84993 80
490227.629639 6697951.33117 90
490218.255154 6697954.81241 100
490208.880669 6697958.29365 110
490199.506185 6697961.77489 120
490190.1317 6697965.25613 130
490180.757216 6697968.73737 140
490171.382731 6697972.21861 150
490162.008247 6697975.69986 160
490152.633762 6697979.1811 170
490143.259277 6697982.66234 180
490133.884793 6697986.14358 190
490124.510308 6697989.62482 200
490115.135824 6697993.10606 210
490105.761339 6697996.5873 220
490096.386854 6698000.06854 230
490087.01237 6698003.54978 240
490077.637885 6698007.03102 250
490068.263401 6698010.51227 260
490058.888916 6698013.99351 270
490049.514431 6698017.47475 280
490040.139947 6698020.95599 290
490030.765462 6698024.43723 300
490021.390978 6698027.91847 310
490012.016493 6698031.39971 320
490002.642008 6698034.88095 330
489993.267524 6698038.36219 340
489983.893039 6698041.84343 350
489974.518555 6698045.32467 360
489965.14407 6698048.80592 370
489955.769586 6698052.28716 380
489946.395101 6698055.7684 390
489937.020616 6698059.24964 400
489927.295096 6698061.47362 410
489917.473123 6698063.35213 420
489907.651149 6698065.23065 430
489897.829176 6698067.10917 440
489888.007202 6698068.98769 450
489878.185229 6698070.86621 460
489868.363255 6698072.74473 470
489858.541282 6698074.62325 480
489848.719308 6698076.50177 490
489838.897335 6698078.38029 500
489829.075361 6698080.25881 510
489819.253387 6698082.13733 520
489809.431414 6698084.01585 530
489799.60944 6698085.89437 540
489789.787467 6698087.77289 550
489779.965493 6698089.65141 560
489770.14352 6698091.52993 570
489760.321546 6698093.40845 580
489750.499573 6698095.28697 590
489740.677599 6698097.16549 600
489730.855626 6698099.04401 610
489721.033652 6698100.92253 620
489711.211678 6698102.80105 630
489701.389705 6698104.67956 640
489691.567731 6698106.55808 650
489681.745758 6698108.4366 660
489671.923784 6698110.31512 670
489662.101811 6698112.19364 680
489652.279837 6698114.07216 690
489642.457864 6698115.95068 700
489632.63589 6698117.8292 710
489622.813916 6698119.70772 720
489612.991943 6698121.58624 730
489603.169969 6698123.46476 740
489593.347996 6698125.34328 750
489583.526022 6698127.2218 760
489573.704049 6698129.10032 770
489563.882075 6698130.97884 780
489554.060102 6698132.85736 790
489544.238128 6698134.73588 800
489534.416155 6698136.6144 810
489524.594181 6698138.49292 820
489514.772207 6698140.37144 830
489504.950234 6698142.24996 840
489495.12826 6698144.12847 850
489485.306287 6698146.00699 860
489475.484313 6698147.88551 870
489465.66234 6698149.76403 880
489455.840366 6698151.64255 890
489446.018393 6698153.52107 900
489436.196419 6698155.39959 910
489426.374446 6698157.27811 920
489416.552472 6698159.15663 930
489406.730498 6698161.03515 940
489396.908525 6698162.91367 950
489387.086551 6698164.79219 960
489377.264578 6698166.67071 970
489367.442604 6698168.54923 980
489357.620631 6698170.42775 990
489347.798657 6698172.30627 1000
489337.976684 6698174.18479 1010
489328.15471 6698176.06331 1020
489318.332736 6698177.94183 1030
489308.510763 6698179.82035 1040
489298.688789 6698181.69887 1050
489288.866816 6698183.57738 1060
489279.044842 6698185.4559 1070
489269.222869 6698187.33442 1080
489259.400895 6698189.21294 1090
489249.578922 6698191.09146 1100
489239.756948 6698192.96998 1110
489229.934975 6698194.8485 1120
489220.113001 6698196.72702 1130
489210.291027 6698198.60554 1140
489200.536998 6698200.75738 1150
489190.9787 6698203.69659 1160
489181.420402 6698206.63579 1170
489171.862103 6698209.575 1180
489162.303805 6698212.51421 1190
489152.745507 6698215.45341 1200
489143.187208 6698218.39262 1210
489133.62891 6698221.33182 1220
489124.070612 6698224.27103 1230
489114.512313 6698227.21024 1240
489104.954015 6698230.14944 1250
489095.395716 6698233.08865 1260
489085.837418 6698236.02785 1270
489076.27912 6698238.96706 1280
489066.720821 6698241.90627 1290
489057.162523 6698244.84547 1300
489047.604225 6698247.78468 1310
489038.045926 6698250.72388 1320
489028.487628 6698253.66309 1330
489018.92933 6698256.6023 1340
489009.371031 6698259.5415 1350
488999.812733 6698262.48071 1360
488990.254435 6698265.41992 1370
488980.696136 6698268.35912 1380
488971.137838 6698271.29833 1390
488961.57954 6698274.23753 1400
488952.021241 6698277.17674 1410
488942.462943 6698280.11595 1420
488932.904645 6698283.05515 1430
488923.346346 6698285.99436 1440
488913.788048 6698288.93356 1450
488904.22975 6698291.87277 1460
488894.671451 6698294.81198 1470
488885.113153 6698297.75118 1480
488875.554854 6698300.69039 1490
488865.996556 6698303.6296 1500
488856.438258 6698306.5688 1510
488846.879959 6698309.50801 1520
488837.321661 6698312.44721 1530
488827.763363 6698315.38642 1540
488818.205064 6698318.32563 1550
488808.646766 6698321.26483 1560
488799.088468 6698324.20404 1570
488789.530169 6698327.14324 1580
488779.971871 6698330.08245 1590
488770.413573 6698333.02166 1600
488760.855274 6698335.96086 1610
488751.296976 6698338.90007 1620
488741.738678 6698341.83928 1630
488732.180379 6698344.77848 1640
488722.622081 6698347.71769 1650
488713.063783 6698350.65689 1660
488703.505484 6698353.5961 1670
488693.947186 6698356.53531 1680
488684.388888 6698359.47451 1690
488674.830589 6698362.41372 1700
488665.272291 6698365.35292 1710
488655.713992 6698368.29213 1720
488646.155694 6698371.23134 1730
488636.597396 6698374.17054 1740
488627.039097 6698377.10975 1750
488617.480799 6698380.04895 1760
488607.922501 6698382.98816 1770
488598.364202 6698385.92737 1780
488588.805904 6698388.86657 1790
488579.247606 6698391.80578 1800
